file,category,language,zero_inbound_static,runtime_unreached_static,in_duplicate_clone_block
backend/__init__.py,backend,python,0,0,0
backend/api/__init__.py,backend,python,0,0,0
backend/api/admin_control_api.py,backend,python,0,0,0
backend/api/admin_dashboard_api.py,backend,python,0,0,0
backend/api/analytics_api.py,backend,python,0,0,0
backend/api/auth.py,backend,python,0,0,0
backend/api/auth_routes.py,backend,python,0,0,0
backend/api/count_lines_api.py,backend,python,0,0,0
backend/api/count_lines_routes.py,backend,python,0,0,0
backend/api/dynamic_fields_api.py,backend,python,0,0,0
backend/api/dynamic_reports_api.py,backend,python,0,0,0
backend/api/enhanced_item_api.py,backend,python,0,0,0
backend/api/enrichment_api.py,backend,python,0,0,0
backend/api/enterprise_api.py,backend,python,0,0,0
backend/api/erp_api.py,backend,python,0,0,0
backend/api/error_reporting_api.py,backend,python,0,0,0
backend/api/exports_api.py,backend,python,0,0,0
backend/api/health.py,backend,python,0,0,0
backend/api/item_verification_api.py,backend,python,0,0,0
backend/api/locations_api.py,backend,python,0,0,0
backend/api/logs_api.py,backend,python,0,0,0
backend/api/mapping_api.py,backend,python,0,0,0
backend/api/master_settings_api.py,backend,python,0,0,0
backend/api/metrics_api.py,backend,python,0,0,0
backend/api/notes_api.py,backend,python,0,0,0
backend/api/notifications_api.py,backend,python,0,0,0
backend/api/permissions_api.py,backend,python,0,0,0
backend/api/pi_api.py,backend,python,0,0,0
backend/api/pin_auth_api.py,backend,python,0,0,0
backend/api/preferences_api.py,backend,python,0,0,0
backend/api/rack_api.py,backend,python,0,0,0
backend/api/realtime_dashboard_api.py,backend,python,0,0,0
backend/api/reconciliation_api.py,backend,python,0,0,0
backend/api/recount_api.py,backend,python,0,0,0
backend/api/report_generation_api.py,backend,python,0,0,0
backend/api/reporting_api.py,backend,python,0,0,0
backend/api/response_models.py,backend,python,0,0,0
backend/api/schemas.py,backend,python,0,0,0
backend/api/schemas_variance.py,backend,python,0,1,0
backend/api/search_api.py,backend,python,0,0,0
backend/api/security_api.py,backend,python,0,0,0
backend/api/security_txt.py,backend,python,1,1,0
backend/api/self_diagnosis_api.py,backend,python,0,0,0
backend/api/service_logs_api.py,backend,python,0,0,0
backend/api/session_management_api.py,backend,python,0,0,0
backend/api/sql_verification_api.py,backend,python,0,0,0
backend/api/supervisor_pin.py,backend,python,0,0,0
backend/api/sync_batch_api.py,backend,python,0,0,0
backend/api/sync_conflicts_api.py,backend,python,0,0,0
backend/api/sync_management_api.py,backend,python,0,0,0
backend/api/sync_status_api.py,backend,python,0,0,0
backend/api/test_support_api.py,backend,python,1,1,1
backend/api/unknown_items_api.py,backend,python,0,0,0
backend/api/user_management_api.py,backend,python,0,0,1
backend/api/user_settings_api.py,backend,python,0,0,0
backend/api/v2/__init__.py,backend,python,0,0,0
backend/api/v2/connection_status.py,backend,python,0,0,0
backend/api/v2/health.py,backend,python,0,0,0
backend/api/v2/items.py,backend,python,0,0,0
backend/api/v2/metrics.py,backend,python,0,0,0
backend/api/v2/sessions.py,backend,python,0,0,0
backend/api/v2/supervisor.py,backend,python,0,0,0
backend/api/variance_api.py,backend,python,0,0,0
backend/api/websocket_api.py,backend,python,0,0,0
backend/app/__init__.py,backend,python,1,1,0
backend/app/factory.py,backend,python,0,0,0
backend/app/middleware.py,backend,python,0,0,0
backend/app/routers.py,backend,python,0,0,0
backend/app/settings_runtime.py,backend,python,0,0,0
backend/app/static.py,backend,python,0,0,0
backend/app_factory.py,backend,python,0,0,0
backend/auth/__init__.py,backend,python,0,0,0
backend/auth/cookies.py,backend,python,0,0,0
backend/auth/dependencies.py,backend,python,0,0,0
backend/auth/jwt_provider.py,backend,python,0,0,0
backend/auth/permissions.py,backend,python,0,0,0
backend/config.py,backend,python,0,0,0
backend/config/governance.py,backend,python,1,1,0
backend/config_governance.py,backend,python,0,0,0
backend/core/__init__.py,backend,python,0,0,0
backend/core/database.py,backend,python,0,0,0
backend/core/globals.py,backend,python,0,0,0
backend/core/lifespan.py,backend,python,0,0,0
backend/core/schemas/__init__.py,backend,python,1,1,0
backend/core/schemas/audit_log.py,backend,python,0,1,0
backend/core/schemas/config_version.py,backend,python,0,0,0
backend/core/schemas/conflict.py,backend,python,0,0,0
backend/core/schemas/snapshot.py,backend,python,0,0,0
backend/core/schemas/user_settings.py,backend,python,0,0,0
backend/core/validators/__init__.py,backend,python,1,1,0
backend/core/validators/pin_validator.py,backend,python,0,1,0
backend/core/websocket_manager.py,backend,python,0,0,0
backend/db/__init__.py,backend,python,1,1,0
backend/db/indexes.py,backend,python,0,0,0
backend/db/initialization.py,backend,python,0,0,0
backend/db/migrations.py,backend,python,0,0,0
backend/db/runtime.py,backend,python,0,0,0
backend/db_mapping_config.py,backend,python,0,0,0
backend/error_messages.py,backend,python,0,0,0
backend/exceptions.py,backend,python,0,0,0
backend/locustfile.py,backend,python,1,1,0
backend/middleware/__init__.py,backend,python,1,1,0
backend/middleware/compression_middleware.py,backend,python,1,1,0
backend/middleware/input_sanitization.py,backend,python,1,1,0
backend/middleware/lan_enforcement.py,backend,python,0,0,0
backend/middleware/logging_middleware.py,backend,python,1,1,0
backend/middleware/performance_middleware.py,backend,python,0,1,0
backend/middleware/rate_limit_middleware.py,backend,python,1,1,0
backend/middleware/request_id.py,backend,python,1,1,0
backend/middleware/request_size_limit.py,backend,python,1,1,0
backend/middleware/security.py,backend,python,0,0,0
backend/middleware/security_headers.py,backend,python,0,0,0
backend/middleware/setup.py,backend,python,1,1,0
backend/models/__init__.py,backend,python,1,1,0
backend/models/analytics.py,backend,python,1,1,0
backend/models/audit.py,backend,python,0,0,0
backend/models/preferences.py,backend,python,0,0,0
backend/models/snapshot.py,backend,python,1,1,0
backend/models/sync.py,backend,python,1,1,0
backend/models/user.py,backend,python,0,0,0
backend/scripts/add_performance_indexes.py,backend,python,1,1,0
backend/scripts/add_test_items.py,backend,python,1,1,0
backend/scripts/backfill_session_snapshots.py,backend,python,0,1,0
backend/scripts/barcode_analyzer.py,backend,python,1,1,0
backend/scripts/batch_condition_manager.py,backend,python,1,1,0
backend/scripts/check_barcode_lengths.py,backend,python,1,1,0
backend/scripts/check_other_barcode_columns.py,backend,python,1,1,0
backend/scripts/check_other_barcodes.py,backend,python,1,1,0
backend/scripts/check_sql_barcodes.py,backend,python,1,1,1
backend/scripts/check_sql_barcodes_v2.py,backend,python,1,1,1
backend/scripts/check_sql_duplicates.py,backend,python,1,1,0
backend/scripts/check_sync_optimization.py,backend,python,1,1,0
backend/scripts/check_warehouses.py,backend,python,1,1,0
backend/scripts/cleanup_synthetic_session_data.py,backend,python,0,1,0
backend/scripts/codebase_upgrade_checker.py,backend,python,1,1,0
backend/scripts/create_feature_indexes.py,backend,python,1,1,0
backend/scripts/create_item_indexes.py,backend,python,1,1,0
backend/scripts/create_staff_users.py,backend,python,1,1,0
backend/scripts/discover_tables.py,backend,python,1,1,0
backend/scripts/explore_barcodes.py,backend,python,1,1,0
backend/scripts/generate_api_docs.py,backend,python,1,1,0
backend/scripts/generate_secrets.py,backend,python,1,1,0
backend/scripts/load_test_search.py,backend,python,1,1,0
backend/scripts/migrate_user_settings.py,backend,python,0,1,0
backend/scripts/optimize_session_indexes.py,backend,python,1,1,0
backend/scripts/repair_count_line_item_names.py,backend,python,0,1,0
backend/scripts/repair_legacy_zero_variance_approvals.py,backend,python,0,1,0
backend/scripts/report_generator.py,backend,python,1,1,0
backend/scripts/reset_staff_session.py,backend,python,1,1,0
backend/scripts/restore_mongodb_backup.py,backend,python,1,1,0
backend/scripts/set_supervisor_pin.py,backend,python,1,1,0
backend/scripts/setup_server_localhost.py,backend,python,1,1,0
backend/scripts/stress_test_concurrent_users.py,backend,python,1,1,0
backend/scripts/sync_bridge_agent.py,backend,python,1,1,0
backend/scripts/sync_sql_to_mongo.py,backend,python,1,1,0
backend/scripts/update_config_from_ssms.py,backend,python,1,1,0
backend/scripts/validate_env.py,backend,python,1,1,0
