"Filename","LineNumber","Line"
"Modal.stories.tsx","52","  tags: [""autodocs""],"
"DataTable.stories.tsx","40","  tags: [""autodocs""],"
"Input.stories.tsx","53","  tags: [""autodocs""],"
"SearchAutocomplete.stories.tsx","42","  tags: [""autodocs""],"
"globalStyles.ts","126","  xxxl: legacySpacing[""6xl""],"
"sharedStyles.ts","41","  xxxl: 20,"
"sharedStyles.ts","126","    fontSize: FONT_SIZE.xxxl,"
"designSystem.ts","62","      xxxl: 32,"
"uiConstants.ts","76","  xxxl: 40,"
"uiConstants.ts","124","  xxxl: 28,"
"uuid.ts","41","  return ""xxxxxxxx-xxxx-4xxx-yxxx-xxxxxxxxxxxx"".replace(/[xy]/g, (c) => {"
